
0it [00:00, ?it/s]
Epoch: [23/50]	 Seen Samples: [328256/714500]	Train Loss: 8576.788037766255	Time: 0:01:11.503261: : 23it [27:04, 71.07s/it]
Epoch: [23/50]	 Seen Samples: [328256/714500]	Train Loss: 8576.788037766255	Time: 0:01:11.503261: : 24it [28:15, 70.99s/it]
Epoch: [24/50]	 Seen Samples: [342528/714500]	Train Loss: 8573.71703554162	Time: 0:01:10.806446: : 24it [28:15, 70.99s/it] 
Epoch: [24/50]	 Seen Samples: [342528/714500]	Train Loss: 8573.71703554162	Time: 0:01:10.806446: : 25it [29:26, 70.85s/it]
Epoch: [25/50]	 Seen Samples: [356800/714500]	Train Loss: 8572.146488754204	Time: 0:01:10.512729: : 25it [29:26, 70.85s/it]
Epoch: [25/50]	 Seen Samples: [356800/714500]	Train Loss: 8572.146488754204	Time: 0:01:10.512729: : 26it [30:36, 70.78s/it]
Epoch: [26/50]	 Seen Samples: [371072/714500]	Train Loss: 8576.708813586043	Time: 0:01:10.616387: : 26it [30:36, 70.78s/it]
Epoch: [26/50]	 Seen Samples: [371072/714500]	Train Loss: 8576.708813586043	Time: 0:01:10.616387: : 27it [31:47, 70.66s/it]
Epoch: [27/50]	 Seen Samples: [385344/714500]	Train Loss: 8570.709969695909	Time: 0:01:10.395450: : 27it [31:47, 70.66s/it]
Epoch: [27/50]	 Seen Samples: [385344/714500]	Train Loss: 8570.709969695909	Time: 0:01:10.395450: : 28it [32:57, 70.69s/it]
Epoch: [28/50]	 Seen Samples: [399616/714500]	Train Loss: 8562.64684346973	Time: 0:01:10.737025: : 28it [32:57, 70.69s/it] 
Epoch: [28/50]	 Seen Samples: [399616/714500]	Train Loss: 8562.64684346973	Time: 0:01:10.737025: : 29it [34:08, 70.57s/it]
Epoch: [29/50]	 Seen Samples: [413888/714500]	Train Loss: 8577.70403587444	Time: 0:01:10.297147: : 29it [34:08, 70.57s/it]
Epoch: [29/50]	 Seen Samples: [413888/714500]	Train Loss: 8577.70403587444	Time: 0:01:10.297147: : 30it [35:18, 70.50s/it]
Epoch: [30/50]	 Seen Samples: [428160/714500]	Train Loss: 8568.540956505745	Time: 0:01:10.345222: : 30it [35:18, 70.50s/it]
Epoch: [30/50]	 Seen Samples: [428160/714500]	Train Loss: 8568.540956505745	Time: 0:01:10.345222: : 31it [36:29, 70.58s/it]
Epoch: [31/50]	 Seen Samples: [442432/714500]	Train Loss: 8559.100620971132	Time: 0:01:10.757287: : 31it [36:29, 70.58s/it]
Epoch: [31/50]	 Seen Samples: [442432/714500]	Train Loss: 8559.100620971132	Time: 0:01:10.757287: : 32it [37:39, 70.56s/it]
Epoch: [32/50]	 Seen Samples: [456704/714500]	Train Loss: 8569.071402921805	Time: 0:01:10.503657: : 32it [37:39, 70.56s/it]
Epoch: [32/50]	 Seen Samples: [456704/714500]	Train Loss: 8569.071402921805	Time: 0:01:10.503657: : 33it [38:50, 70.55s/it]
Epoch: [33/50]	 Seen Samples: [470976/714500]	Train Loss: 8569.274481940163	Time: 0:01:10.536624: : 33it [38:50, 70.55s/it]
Epoch: [33/50]	 Seen Samples: [470976/714500]	Train Loss: 8569.274481940163	Time: 0:01:10.536624: : 34it [40:01, 70.64s/it]
Epoch: [34/50]	 Seen Samples: [485248/714500]	Train Loss: 8559.271370515695	Time: 0:01:10.843316: : 34it [40:01, 70.64s/it]
Epoch: [34/50]	 Seen Samples: [485248/714500]	Train Loss: 8559.271370515695	Time: 0:01:10.843316: : 35it [41:12, 70.85s/it]
Epoch: [35/50]	 Seen Samples: [499520/714500]	Train Loss: 8560.626294054793	Time: 0:01:11.337353: : 35it [41:12, 70.85s/it]
Epoch: [35/50]	 Seen Samples: [499520/714500]	Train Loss: 8560.626294054793	Time: 0:01:11.337353: : 36it [42:23, 70.99s/it]
Epoch: [36/50]	 Seen Samples: [513792/714500]	Train Loss: 8563.750906495236	Time: 0:01:11.323569: : 36it [42:23, 70.99s/it]
Epoch: [36/50]	 Seen Samples: [513792/714500]	Train Loss: 8563.750906495236	Time: 0:01:11.323569: : 37it [43:34, 70.94s/it]
